# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EBlowR9smear        0.0000     0.0017     0.0005    
EBhighR9scale       0.0007     0.0051     0.0014    
EBhighR9smear       0.0000     0.0020     0.0002    
EElowR9scale        0.0006     0.0068     0.0007    
EElowR9smear        0.0000     0.0159     0.0006    
EEhighR9scale       0.0019     0.0094     0.0017    
EEhighR9smear       0.0000     0.0307     0.0007    

diphotonCat=5
proc=ggh
EBlowR9scale        0.0003     0.0051     0.0015    
EBlowR9smear        0.0000     0.0029     0.0015    
EBhighR9scale       0.0015     0.0287     0.0028    
EBhighR9smear       0.0000     0.0016     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=5
proc=vbf
EBlowR9scale        0.0004     0.0052     0.0002    
EBlowR9smear        0.0000     0.0016     0.0000    
EBhighR9scale       0.0016     0.0144     0.0002    
EBhighR9smear       0.0000     0.0040     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=5
proc=wh
EBlowR9scale        0.0004     0.0289     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0015     0.0938     0.0000    
EBhighR9smear       0.0001     0.0242     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=5
proc=zh
EBlowR9scale        0.0002     0.0049     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0013     0.0383     0.0000    
EBhighR9smear       0.0001     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=5
proc=tth
EBlowR9scale        0.0005     0.0128     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0017     0.0341     0.0000    
EBhighR9smear       0.0001     0.0174     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=6
proc=ggh
EBlowR9scale        0.0007     0.0091     0.0000    
EBlowR9smear        0.0000     0.0030     0.0000    
EBhighR9scale       0.0028     0.0078     0.0000    
EBhighR9smear       0.0000     0.0097     0.0000    
EElowR9scale        0.0000     0.0015     0.0024    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=6
proc=vbf
EBlowR9scale        0.0007     0.0089     0.0004    
EBlowR9smear        0.0000     0.0016     0.0000    
EBhighR9scale       0.0028     0.0288     0.0008    
EBhighR9smear       0.0000     0.0080     0.0001    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0003     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=6
proc=wh
EBlowR9scale        0.0009     0.0966     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0028     0.0797     0.0096    
EBhighR9smear       0.0001     0.0051     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=6
proc=zh
EBlowR9scale        0.0009     0.0653     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0024     0.0545     0.0196    
EBhighR9smear       0.0002     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=6
proc=tth
EBlowR9scale        0.0008     0.0555     0.0000    
EBlowR9smear        0.0001     0.0000     0.0000    
EBhighR9scale       0.0021     0.0345     0.0119    
EBhighR9smear       0.0001     0.0110     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=7
proc=ggh
EBlowR9scale        0.0013     0.0452     0.0031    
EBlowR9smear        0.0000     0.0054     0.0000    
EBhighR9scale       0.0011     0.0115     0.0026    
EBhighR9smear       0.0000     0.0063     0.0026    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0023     0.0300     0.0075    
EEhighR9smear       0.0001     0.0072     0.0000    

diphotonCat=7
proc=vbf
EBlowR9scale        0.0015     0.0008     0.0008    
EBlowR9smear        0.0000     0.0042     0.0000    
EBhighR9scale       0.0012     0.0043     0.0002    
EBhighR9smear       0.0000     0.0022     0.0000    
EElowR9scale        0.0000     0.0005     0.0004    
EElowR9smear        0.0000     0.0022     0.0000    
EEhighR9scale       0.0018     0.0130     0.0006    
EEhighR9smear       0.0000     0.0576     0.0003    

diphotonCat=7
proc=wh
EBlowR9scale        0.0011     0.0646     0.0065    
EBlowR9smear        0.0001     0.0034     0.0065    
EBhighR9scale       0.0014     0.0448     0.0000    
EBhighR9smear       0.0001     0.0290     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0026     0.0996     0.0000    
